station_no,station_code,station_name_en,area,long,lat,old_population_percentage,district_exit_percent,hearing_impared_facility,mobility_impared_facility,visually_impaired_facility,system_accessibility,total_facility_score,normal_facility_score,normal_hearing_impared_facility,normal_mobility_impared_facility,normal_visually_impaired_facility,normal_system_accessibility,adjusted_demand
38,LAT,Lam Tin,Kwun Tong,114.23201983243676,22.307228985020288,21.947186875154124,0.1282051282051282,8,13,23,8,52,50.0,66.66666666666666,52.0,82.14285714285714,20.51282051282051,2.813741907071041
39,HOK,Hong Kong,Central and Western,114.15828235321051,22.28434219519289,19.279687056320537,0.1320754716981132,8,16,22,10,56,53.84615384615385,66.66666666666666,64.0,78.57142857142857,25.64102564102564,2.5463737621555427
40,KOW,Kowloon,Yau Tsim Mong,114.16068259725277,22.30449712893384,17.88782766290999,0.10084033613445378,8,16,23,13,60,57.692307692307686,66.66666666666666,64.0,82.14285714285714,33.33333333333333,1.8038145542430244
41,OLY,Olympic,Yau Tsim Mong,114.1591375672853,22.318161660909936,17.88782766290999,0.10084033613445378,8,11,23,15,57,54.807692307692314,66.66666666666666,44.0,82.14285714285714,38.46153846153847,1.8038145542430244
42,TSY,Tsing Yi,Kwai Tsing,114.10737095593144,22.357896366741752,22.078749813432083,0.2857142857142857,8,16,22,10,56,53.84615384615385,66.66666666666666,64.0,78.57142857142857,25.64102564102564,6.308214232409166
43,TUC,Tung Chung,Islands,113.94090695469292,22.288986809003717,14.732138038233613,0.36363636363636365,7,11,22,11,51,49.03846153846153,58.333333333333336,44.0,78.57142857142857,28.205128205128204,5.357141104812223
47,AIR,Airport,Islands,113.93608137734189,22.316442445552234,14.732138038233613,0.45454545454545453,8,5,18,3,34,32.69230769230769,66.66666666666666,20.0,64.28571428571429,7.6923076923076925,6.696426381015279
48,YAT,Yau Tong,Kwun Tong,114.23674270364158,22.298562994088716,21.947186875154124,0.10256410256410256,8,15,23,18,64,61.53846153846154,66.66666666666666,60.0,82.14285714285714,46.15384615384615,2.250993525656833
49,TIK,Tiu Keng Leng,Sai Kung,114.25271842497428,22.304472822382113,15.801053907986512,0.14285714285714285,8,15,23,8,54,51.92307692307693,66.66666666666666,60.0,82.14285714285714,20.51282051282051,2.2572934154266444
50,TKO,Tseung Kwan O,Sai Kung,114.26074829376107,22.307736771524862,15.801053907986512,0.23809523809523808,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,3.762155692377741
51,HAH,Hang Hau,Sai Kung,114.26443119978326,22.315194096712148,15.801053907986512,0.19047619047619047,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,3.009724553902193
52,POA,Po Lam,Sai Kung,114.25833806764116,22.322068517069333,15.801053907986512,0.2857142857142857,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,4.514586830853289
53,NAC,Nam Cheong,Sham Shui Po,114.15359258280186,22.327740466356683,20.398292699900253,0.15217391304347827,9,15,23,10,57,54.807692307692314,75.0,60.0,82.14285714285714,25.64102564102564,3.104088019550039
54,SUN,Sunny Bay,Tsuen Wan,114.02867403985354,22.331938043635738,18.134048123363762,0.03571428571428571,8,15,23,8,54,51.92307692307693,66.66666666666666,60.0,82.14285714285714,20.51282051282051,0.64764457583442
55,DIS,Disneyland Resort,Tsuen Wan,114.04538507427125,22.31520720273136,18.134048123363762,0.03571428571428571,6,10,22,8,46,44.230769230769226,50.0,40.0,78.57142857142857,20.51282051282051,0.64764457583442
56,AWE,AsiaWorld-Expo,Islands,113.94370679475844,22.322253605093003,14.732138038233613,0.18181818181818182,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,2.6785705524061116
57,LHP,LOHAS Park,Sai Kung,114.2683786749161,22.295337441920772,15.801053907986512,0.14285714285714285,8,11,23,15,57,54.807692307692314,66.66666666666666,44.0,82.14285714285714,38.46153846153847,2.2572934154266444
64,HUH,Hung Hom,Yau Tsim Mong,114.18240878549582,22.303374399521537,17.88782766290999,0.11764705882352941,8,20,23,18,69,66.34615384615384,66.66666666666666,80.0,82.14285714285714,46.15384615384615,2.1044503132835284
65,MKK,Mong Kok East,Yau Tsim Mong,114.17265219582346,22.32169381445231,17.88782766290999,0.03361344537815126,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,0.6012715180810081
67,TAW,Tai Wai,Sha Tin,114.17802388414363,22.37272045841667,19.989001249989172,0.14814814814814814,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,2.961333518516914
68,SHT,Sha Tin,Sha Tin,114.18777614224054,22.38284654851778,19.989001249989172,0.09259259259259259,8,15,28,11,62,59.61538461538461,66.66666666666666,60.0,100.0,28.205128205128204,1.8508334490730713
69,FOT,Fo Tan,Sha Tin,114.1984071194539,22.39584903732164,19.989001249989172,0.07407407407407407,8,15,28,13,64,61.53846153846154,66.66666666666666,60.0,100.0,33.33333333333333,1.480666759258457
71,UNI,University,Sha Tin,114.21004508978153,22.414086450454313,19.989001249989172,0.07407407407407407,8,15,28,16,67,64.42307692307693,66.66666666666666,60.0,100.0,41.02564102564102,1.480666759258457
72,TAP,Tai Po Market,Tai Po,114.16975975949904,22.44436808096345,18.485796442000822,0.6666666666666666,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,12.323864294667214
73,TWO,Tai Wo,Tai Po,114.16143708549902,22.451127576405728,18.485796442000822,0.3333333333333333,8,15,28,10,61,58.65384615384615,66.66666666666666,60.0,100.0,25.64102564102564,6.161932147333607
74,FAN,Fanling,North,114.13914931959549,22.4918511215159,17.942970826564526,0.29411764705882354,8,15,28,16,67,64.42307692307693,66.66666666666666,60.0,100.0,41.02564102564102,5.277344360754273
75,SHS,Sheung Shui,North,114.1278512627427,22.50150338109994,17.942970826564526,0.6470588235294118,8,15,28,11,62,59.61538461538461,66.66666666666666,60.0,100.0,28.205128205128204,11.6101575936594
76,LOW,Lo Wu,North,114.11342069952595,22.529052802698818,17.942970826564526,0.058823529411764705,8,20,28,13,69,66.34615384615384,66.66666666666666,80.0,100.0,33.33333333333333,1.0554688721508545
78,LMC,Lok Ma Chau,Yuen Long,114.06619859028245,22.514900774617942,15.023051131601006,0.03571428571428571,8,20,28,13,69,66.34615384615384,66.66666666666666,80.0,100.0,33.33333333333333,0.5365375404143217
80,ETS,East Tsim Sha Tsui,Yau Tsim Mong,114.17046171075384,22.29614498479033,17.88782766290999,0.13445378151260504,9,15,23,18,65,62.5,75.0,60.0,82.14285714285714,46.15384615384615,2.4050860723240324
81,SYP,Sai Ying Pun,Central and Western,114.14423010120512,22.287733538214525,19.279687056320537,0.11320754716981132,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,2.182606081847608
82,HKU,HKU,Central and Western,114.13514295632103,22.285615197950627,19.279687056320537,0.11320754716981132,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,2.182606081847608
