station_no,station_code,station_name_en,area,old_population_percentage,hearing_impared_facility,mobility_impared_facility,visually_impaired_facilities,system_accessibility,total_facility_score,facility_score_category,area_needs,area_adjustment_score,accessibility_index
1,CEN,Central,Central and Western,19.279687056320537,6,10,18,6,40,Medium,Very High,-2,38
2,ADM,Admiralty,Central and Western,19.279687056320537,8,10,17,8,43,High,Very High,3,46
3,TST,Tsim Sha Tsui,Yau Tsim Mong,17.88782766290999,6,9,20,8,43,High,Very High,3,46
4,JOR,Jordan,Yau Tsim Mong,17.88782766290999,6,8,18,6,38,Low,Very High,-3,35
5,YMT,Yau Ma Tei,Yau Tsim Mong,17.88782766290999,6,10,18,8,42,Medium,Very High,-2,40
6,MOK,Mong Kok,Yau Tsim Mong,17.88782766290999,6,10,18,6,40,Medium,Very High,-2,38
7,SKM,Shek Kip Mei,Sham Shui Po,20.398292699900253,6,8,18,10,42,Medium,Very High,-2,40
8,KOT,Kowloon Tong,Kowloon City,20.080655766448956,8,12,21,11,52,High,Very High,3,55
9,LOF,Lok Fu,Wong Tai Sin,22.96227648831618,6,8,18,5,37,Low,Very High,-3,34
10,WTS,Wong Tai Sin,Wong Tai Sin,22.96227648831618,6,8,18,8,40,Medium,Very High,-2,38
11,DIH,Diamond Hill,Wong Tai Sin,22.96227648831618,8,10,18,10,46,High,Very High,3,49
12,CHH,Choi Hung,Wong Tai Sin,22.96227648831618,6,8,18,5,37,Low,Very High,-3,34
13,KOB,Kowloon Bay,Kwun Tong,21.947186875154124,6,8,18,13,45,High,Very High,3,48
14,NTK,Ngau Tau Kok,Kwun Tong,21.947186875154124,6,10,18,5,39,Medium,Very High,-2,37
15,KWT,Kwun Tong,Kwun Tong,21.947186875154124,6,8,18,8,40,Medium,Very High,-2,38
16,PRE,Prince Edward,Yau Tsim Mong,17.88782766290999,6,10,18,8,42,Medium,Very High,-2,40
17,SSP,Sham Shui Po,Sham Shui Po,20.398292699900253,6,8,17,8,39,Medium,Very High,-2,37
18,CSW,Cheung Sha Wan,Sham Shui Po,20.398292699900253,6,8,18,6,38,Low,Very High,-3,35
19,LCK,Lai Chi Kok,Sham Shui Po,20.398292699900253,6,8,18,10,42,Medium,Very High,-2,40
20,MEF,Mei Foo,Sham Shui Po,20.398292699900253,8,11,18,10,47,High,Very High,3,50
21,LAK,Lai King,Kwai Tsing,22.078749813432083,6,10,18,6,40,Medium,Very High,-2,38
22,KWF,Kwai Fong,Kwai Tsing,22.078749813432083,6,8,18,5,37,Low,Very High,-3,34
23,KWH,Kwai Hing,Kwai Tsing,22.078749813432083,6,8,18,7,39,Medium,Very High,-2,37
24,TWH,Tai Wo Hau,Tsuen Wan,18.134048123363762,6,8,18,6,38,Low,Very High,-3,35
25,TSW,Tsuen Wan,Tsuen Wan,18.134048123363762,6,8,18,8,40,Medium,Very High,-2,38
26,SHW,Sheung Wan,Central and Western,19.279687056320537,6,10,18,9,43,High,Very High,3,46
27,WAC,Wan Chai,Wan Chai,21.223791955367588,6,8,18,6,38,Low,Very High,-3,35
28,CAB,Causeway Bay,Wan Chai,21.223791955367588,6,8,18,6,38,Low,Very High,-3,35
29,TIH,Tin Hau,Wan Chai,21.223791955367588,6,8,18,5,37,Low,Very High,-3,34
30,FOH,Fortress Hill,Eastern,23.358440190104663,6,8,18,6,38,Low,Very High,-3,35
